PARAMETER：
IMG_HEIGHT =  345;
IMG_WIDTH =  400;
ITER = 10000;  // 随机取点次数
PLANE_OR_NOT =0.1;  // 判断是否为平面的分界线

-----------------------------
RESULT:
basePath = "/home/zhoujie/liveness detection/raw文件/face";
pretotal = 1526,_ary = 0.064137,141.raw是人脸
pretotal = 1604,_ary = 0.069183,164.raw是人脸
pretotal = 1371,_ary = 0.069675,38.raw是人脸
pretotal = 1556,_ary = 0.065001,143.raw是人脸
pretotal = 1541,_ary = 0.065449,138.raw是人脸
pretotal = 1682,_ary = 0.066630,193.raw是人脸
pretotal = 1642,_ary = 0.063861,0.raw是人脸
pretotal = 1805,_ary = 0.071018,54.raw是人脸
pretotal = 1698,_ary = 0.067346,22.raw是人脸
pretotal = 1625,_ary = 0.066522,32.raw是人脸
pretotal = 1595,_ary = 0.062974,49.raw是人脸
pretotal = 1624,_ary = 0.063764,89.raw是人脸
pretotal = 1721,_ary = 0.067287,88.raw是人脸
pretotal = 1663,_ary = 0.060446,3.raw是人脸
pretotal = 1510,_ary = 0.060395,180.raw是人脸
pretotal = 1561,_ary = 0.064286,188.raw是人脸
pretotal = 1768,_ary = 0.070774,107.raw是人脸
pretotal = 1534,_ary = 0.063744,136.raw是人脸
pretotal = 1807,_ary = 0.075730,75.raw是人脸
pretotal = 1750,_ary = 0.067787,93.raw是人脸
pretotal = 1688,_ary = 0.070936,115.raw是人脸
pretotal = 1358,_ary = 0.056053,128.raw是人脸
pretotal = 1784,_ary = 0.067257,114.raw是人脸
pretotal = 1533,_ary = 0.067485,126.raw是人脸
pretotal = 1764,_ary = 0.069318,91.raw是人脸
pretotal = 1685,_ary = 0.070118,104.raw是人脸
pretotal = 1458,_ary = 0.062837,41.raw是人脸
pretotal = 1551,_ary = 0.071232,127.raw是人脸
pretotal = 1825,_ary = 0.070945,153.raw是人脸
pretotal = 1796,_ary = 0.069357,81.raw是人脸
pretotal = 1590,_ary = 0.065370,173.raw是人脸
pretotal = 1705,_ary = 0.066591,90.raw是人脸
pretotal = 1424,_ary = 0.064601,39.raw是人脸
pretotal = 1393,_ary = 0.058633,134.raw是人脸
pretotal = 1582,_ary = 0.063747,175.raw是人脸
